feet,cruise,rpm,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C
press_alt,type,rpm,-50,-40,-30,-20,-10,0,10,20,30,40
25000,HS,850,70.8,67,63,59,54,48,NA,NA,NA,NA
24000,HS,850,73.5,70,65,61,56,50,NA,NA,NA,NA
23000,HS,850,77,72,68,64,59,52,NA,NA,NA,NA
22000,HS,850,NA,75,71,66,61,55,NA,NA,NA,NA
21000,HS,850,NA,78.5,74,69,64,57,NA,NA,NA,NA
20000,HS,850,NA,82,77,73,67,60,53,NA,NA,NA
19000,HS,850,NA,85,80,75,70,63,55,NA,NA,NA
18000,HS,850,NA,88,83,78,73,66,58,NA,NA,NA
17000,HS,850,90,90,86,81,76,68,61,NA,NA,NA
16000,HS,850,90,90,90,85,78,71,63,NA,NA,NA
15000,HS,850,90,90,90,88,81,74,66,58,NA,NA
14000,HS,850,90,90,90,90,85,77,69,61,NA,NA
13000,HS,850,90,90,90,90,88,818,72,63,NA,NA
12000,HS,850,90,90,90,90,90,84,76,66,NA,NA
11000,HS,850,90,90,90,90,90,87,79,70,NA,NA
10000,HS,850,90,90,90,90,90,90,83,73,63,NA
9000,HS,850,90,90,90,90,90,90,86,76,66,NA
8000,HS,850,90,90,90,90,90,90,90,79,69,NA
7000,HS,850,90,90,90,90,90,90,90,82,72,NA
6000,HS,850,90,90,90,90,90,90,90,86,75,NA
5000,HS,850,90,90,90,90,90,90,NA,NA,NA,NA
4000,HS,850,90,90,90,90,90,90,NA,NA,NA,NA
3000,HS,850,90,90,90,90,90,90,NA,NA,NA,NA
2000,HS,850,90,90,90,90,90,90,NA,NA,NA,NA
1000,HS,850,90,90,90,90,90,90,NA,NA,NA,NA
0,HS,850,90,90,90,90,90,90,NA,NA,NA,NA