lbs,degrees,level,kias,kias,kias,kias,WAT feet (degrees C),WAT feet (degrees C)
weight,flaps,ice_protection,v_ref,v_ga,v_fri,v_climb,2000,6000
45000,0,1,132,132,132,132,NA,NA
45000,5,1,121,111,121,132,NA,NA
45000,10,1,113,108,121,131,NA,NA
45000,15,1,108,108,113,132,NA,NA
45000,35,1,103,105,110,132,NA,NA
45000,0,2,157,157,157,152,NA,NA
45000,5,2,141,131,141,152,NA,NA
45000,10,2,133,128,141,152,NA,NA
45000,15,2,128,128,133,152,NA,NA
45000,35,2,118,125,130,152,NA,NA
45000,0,3,157,157,157,152,NA,NA
45000,5,3,141,131,141,152,NA,NA
45000,10,3,133,128,141,152,NA,NA
45000,15,3,128,128,133,152,NA,NA
45000,35,3,118,125,130,152,NA,NA
47000,0,1,135,135,135,135,NA,NA
47000,5,1,124,114,124,135,NA,NA
47000,10,1,115,114,124,135,NA,NA
47000,15,1,110,108,116,135,NA,NA
47000,35,1,105,105,113,135,NA,NA
47000,0,2,160,160,160,155,NA,NA
47000,5,2,144,124,144,155,NA,NA
47000,10,2,135,124,144,155,NA,NA
47000,15,2,130,128,136,155,NA,NA
47000,35,2,120,125,133,155,NA,NA
47000,0,3,160,160,160,155,NA,NA
47000,5,3,144,124,144,155,NA,NA
47000,10,3,135,124,144,155,NA,NA
47000,15,3,130,128,136,155,NA,NA
47000,35,3,120,125,133,155,NA,NA
48000,0,1,137,137,137,136,NA,NA
48000,5,1,125,115,125,136,NA,NA
48000,10,1,116,115,125,136,NA,NA
48000,15,1,111,108,117,136,NA,NA
48000,35,1,106,105,114,136,NA,NA
48000,0,2,162,162,162,156,NA,NA
48000,5,2,145,125,145,156,NA,NA
48000,10,2,136,125,145,156,NA,NA
48000,15,2,131,128,137,156,NA,NA
48000,35,2,121,125,134,156,NA,NA
48000,0,3,162,162,162,156,NA,NA
48000,5,3,145,125,145,156,NA,NA
48000,10,3,136,125,145,156,NA,NA
48000,15,3,131,128,137,156,NA,NA
48000,35,3,121,125,134,156,NA,NA
49000,0,1,138,138,138,138,NA,NA
49000,5,1,127,116,126,138,NA,NA
49000,10,1,118,116,126,138,NA,NA
49000,15,1,112,108,118,138,NA,NA
49000,35,1,107,105,115,138,NA,NA
49000,0,2,163,163,163,158,NA,NA
49000,5,2,147,136,146,158,NA,NA
49000,10,2,138,136,146,158,NA,NA
49000,15,2,132,128,138,158,NA,NA
49000,35,2,122,125,135,158,NA,NA
49000,0,3,163,163,163,158,NA,NA
49000,5,3,147,136,146,158,NA,NA
49000,10,3,138,136,146,158,NA,NA
49000,15,3,132,128,138,158,NA,NA
49000,35,3,122,125,135,158,NA,NA
50000,0,1,139,139,139,139,NA,NA
50000,5,1,128,117,128,139,NA,NA
50000,10,1,119,117,128,139,NA,NA
50000,15,1,113,109,120,139,NA,NA
50000,35,1,108,105,116,139,NA,NA
50000,0,2,164,164,164,159,NA,NA
50000,5,2,148,137,148,159,NA,NA
50000,10,2,139,137,148,159,NA,NA
50000,15,2,133,129,140,159,NA,NA
50000,35,2,123,125,136,159,NA,NA
50000,0,3,164,164,164,159,NA,NA
50000,5,3,148,137,148,159,NA,NA
50000,10,3,139,137,148,159,NA,NA
50000,15,3,133,129,140,159,NA,NA
50000,35,3,123,125,136,159,NA,NA
51000,0,1,141,141,141,141,NA,NA
51000,5,1,129,118,129,141,NA,NA
51000,10,1,120,118,129,141,NA,NA
51000,15,1,115,110,120,141,NA,NA
51000,35,1,109,105,117,141,NA,NA
51000,0,2,166,166,166,161,NA,NA
51000,5,2,149,138,149,161,NA,NA
51000,10,2,140,138,149,161,NA,NA
51000,15,2,135,130,140,161,NA,NA
51000,35,2,124,125,137,161,NA,NA
51000,0,3,166,166,166,161,NA,NA
51000,5,3,149,138,149,161,NA,NA
51000,10,3,140,138,149,161,NA,NA
51000,15,3,135,130,140,161,NA,NA
51000,35,3,124,125,137,161,NA,NA
52000,0,1,124,124,124,141,NA,NA
52000,5,1,130,120,130,141,NA,NA
52000,10,1,121,120,130,141,NA,NA
52000,15,1,116,111,122,141,NA,NA
52000,35,1,110,106,119,141,NA,NA
52000,0,2,167,167,167,161,NA,NA
52000,5,2,150,140,150,161,NA,NA
52000,10,2,141,140,150,161,NA,NA
52000,15,2,136,131,142,161,NA,NA
52000,35,2,125,126,139,161,NA,NA
52000,0,3,167,167,167,161,NA,NA
52000,5,3,150,140,150,161,NA,NA
52000,10,3,141,140,150,161,NA,NA
52000,15,3,136,131,142,161,NA,NA
52000,35,3,125,126,139,161,NA,NA
53000,0,1,144,144,144,143,NA,NA
53000,5,1,132,121,132,143,NA,NA
53000,10,1,123,121,132,143,NA,NA
53000,15,1,117,112,124,143,NA,NA
53000,35,1,112,107,120,143,NA,NA
53000,0,2,169,169,169,163,NA,NA
53000,5,2,152,141,152,163,NA,NA
53000,10,2,143,141,152,163,NA,NA
53000,15,2,137,132,144,163,NA,NA
53000,35,2,127,127,140,163,NA,NA
53000,0,3,169,169,169,163,NA,NA
53000,5,3,152,141,152,163,NA,NA
53000,10,3,143,141,152,163,NA,NA
53000,15,3,137,132,144,163,NA,NA
53000,35,3,127,127,140,163,NA,NA
54000,0,1,145,145,145,144,NA,NA
54000,5,1,133,122,133,144,NA,NA
54000,10,1,124,122,133,144,NA,NA
54000,15,1,118,113,125,144,NA,NA
54000,35,1,113,108,121,144,NA,NA
54000,0,2,170,170,170,164,NA,NA
54000,5,2,153,142,153,164,NA,NA
54000,10,2,144,142,153,164,NA,NA
54000,15,2,138,133,145,164,NA,NA
54000,35,2,128,128,141,164,NA,NA
54000,0,3,170,170,170,164,NA,NA
54000,5,3,153,142,153,164,NA,NA
54000,10,3,144,142,153,164,NA,NA
54000,15,3,138,133,145,164,NA,NA
54000,35,3,128,128,141,164,NA,NA
55000,0,1,146,146,146,146,NA,NA
55000,5,1,134,123,134,146,NA,NA
55000,10,1,125,123,134,146,NA,NA
55000,15,1,119,115,126,146,NA,NA
55000,35,1,114,109,122,146,NA,36
55000,0,2,171,171,171,166,NA,NA
55000,5,2,154,143,154,166,NA,NA
55000,10,2,145,143,154,166,NA,NA
55000,15,2,139,135,146,166,NA,NA
55000,35,2,129,129,142,166,NA,36
55000,0,3,171,171,171,166,NA,NA
55000,5,3,154,143,154,166,NA,NA
55000,10,3,145,143,154,166,NA,NA
55000,15,3,139,135,146,166,NA,NA
55000,35,3,129,129,142,166,NA,36
56000,0,1,147,147,147,147,NA,NA
56000,5,1,135,124,135,147,NA,NA
56000,10,1,126,124,135,147,NA,NA
56000,15,1,120,116,127,147,NA,NA
56000,35,1,115,110,123,147,NA,34
56000,0,2,172,172,172,167,NA,NA
56000,5,2,155,144,155,167,NA,NA
56000,10,2,146,144,155,167,NA,NA
56000,15,2,140,136,147,167,NA,NA
56000,35,2,130,130,143,167,NA,34
56000,0,3,172,172,172,167,NA,NA
56000,5,3,155,144,155,167,NA,NA
56000,10,3,146,144,155,167,NA,NA
56000,15,3,140,136,147,167,NA,NA
56000,35,3,130,130,143,167,NA,34
57000,0,1,149,149,149,148,NA,NA
57000,5,1,136,125,136,148,NA,NA
57000,10,1,127,125,136,148,NA,NA
57000,15,1,121,117,128,148,NA,NA
57000,35,1,116,111,125,148,NA,32
57000,0,2,174,174,174,168,NA,NA
57000,5,2,156,145,165,168,NA,NA
57000,10,2,147,145,165,168,NA,NA
57000,15,2,141,137,148,168,NA,NA
57000,35,2,131,131,145,168,NA,32
57000,0,3,174,174,174,168,NA,NA
57000,5,3,156,145,165,168,NA,NA
57000,10,3,147,145,165,168,NA,NA
57000,15,3,141,137,148,168,NA,NA
57000,35,3,131,131,145,168,NA,32
58000,0,1,150,150,150,149,NA,NA
58000,5,1,137,126,137,149,NA,NA
58000,10,1,128,126,137,149,NA,NA
58000,15,1,122,118,129,149,NA,36
58000,35,1,117,112,126,149,NA,30
58000,0,2,175,175,175,169,NA,NA
58000,5,2,157,146,157,169,NA,NA
58000,10,2,148,146,157,169,NA,NA
58000,15,2,142,138,149,169,NA,36
58000,35,2,132,132,146,169,NA,30
58000,0,3,175,175,175,169,NA,NA
58000,5,3,157,146,157,169,NA,NA
58000,10,3,148,146,157,169,NA,NA
58000,15,3,142,138,149,169,NA,36
58000,35,3,132,132,146,169,NA,30
59000,0,1,151,151,151,150,NA,NA
59000,5,1,139,127,138,150,NA,NA
59000,10,1,129,127,138,150,NA,NA
59000,15,1,123,119,130,150,NA,36
59000,35,1,118,113,127,150,NA,30
59000,0,2,176,176,176,170,NA,NA
59000,5,2,159,147,158,170,NA,NA
59000,10,2,149,147,158,170,NA,NA
59000,15,2,143,139,150,170,NA,36
59000,35,2,133,133,147,170,NA,30
59000,0,3,176,176,176,170,NA,NA
59000,5,3,159,147,158,170,NA,NA
59000,10,3,149,147,158,170,NA,NA
59000,15,3,143,139,150,170,NA,36
59000,35,3,133,133,147,170,NA,30
60000,0,1,153,153,153,152,NA,NA
60000,5,1,140,128,140,152,NA,NA
60000,10,1,130,128,140,152,NA,NA
60000,15,1,124,120,132,152,NA,28
60000,35,1,119,114,128,152,NA,34
60000,0,2,178,178,178,172,NA,NA
60000,5,2,160,148,160,172,NA,NA
60000,10,2,150,148,160,172,NA,NA
60000,15,2,144,140,152,172,NA,28
60000,35,2,134,124,148,172,NA,34
60000,0,3,178,178,178,172,NA,NA
60000,5,3,160,148,160,172,NA,NA
60000,10,3,150,148,160,172,NA,NA
60000,15,3,144,140,152,172,NA,28
60000,35,3,134,124,148,172,NA,34
61000,0,1,154,154,154,153,NA,NA
61000,5,1,141,129,141,153,NA,36
61000,10,1,131,129,141,153,NA,36
61000,15,1,125,121,133,153,44,32
61000,35,1,120,115,129,153,44,26
61000,0,2,179,179,179,173,NA,NA
61000,5,2,161,149,161,173,NA,36
61000,10,2,151,149,161,173,NA,36
61000,15,2,145,141,153,173,44,32
61000,35,2,135,135,149,173,44,26
61000,0,3,179,179,179,173,NA,NA
61000,5,3,161,149,161,173,NA,36
61000,10,3,151,149,161,173,NA,36
61000,15,3,145,141,153,173,44,32
61000,35,3,135,135,149,173,44,26
62000,0,1,155,155,155,154,NA,NA
62000,5,1,155,130,142,154,NA,36
62000,10,1,133,130,124,154,NA,36
62000,15,1,126,122,134,154,42,30
62000,35,1,121,116,130,154,42,24
62000,0,2,180,180,180,174,NA,NA
62000,5,2,175,150,162,174,NA,36
62000,10,2,153,150,162,174,NA,36
62000,15,2,146,142,154,174,42,30
62000,35,2,136,136,150,174,42,24
62000,0,3,180,180,180,174,NA,NA
62000,5,3,175,150,162,174,NA,36
62000,10,3,153,150,162,174,NA,36
62000,15,3,146,142,154,174,42,30
62000,35,3,136,136,150,174,42,24
63000,0,1,156,156,156,155,NA,NA
63000,5,1,143,134,143,155,NA,34
63000,10,1,133,134,143,155,NA,34
63000,15,1,127,123,135,155,NA,28
63000,35,1,122,117,131,155,40,20
63000,0,2,181,181,181,175,NA,NA
63000,5,2,163,154,163,175,NA,34
63000,10,2,153,154,163,175,NA,34
63000,15,2,147,143,155,175,NA,28
63000,35,2,137,137,151,175,40,20
63000,0,3,181,181,181,175,NA,NA
63000,5,3,163,154,163,175,NA,34
63000,10,3,153,154,163,175,NA,34
63000,15,3,147,143,155,175,NA,28
63000,35,3,137,137,151,175,40,20
64000,0,1,157,157,157,157,NA,NA
64000,5,1,144,132,145,157,NA,32
64000,10,1,135,132,145,157,NA,32
64000,15,1,128,124,136,157,44,26
64000,35,1,123,119,132,157,38,18
64000,0,2,182,182,182,177,NA,NA
64000,5,2,164,152,165,177,NA,32
64000,10,2,155,152,165,177,NA,32
64000,15,2,148,144,156,177,44,26
64000,35,2,138,139,142,177,38,18
64000,0,3,182,182,182,177,NA,NA
64000,5,3,164,152,165,177,NA,32
64000,10,3,155,152,165,177,NA,32
64000,15,3,148,144,156,177,44,26
64000,35,3,138,139,142,177,38,18
65000,0,1,158,158,158,158,NA,NA
65000,5,1,145,134,144,158,NA,32
65000,10,1,136,134,144,158,NA,32
65000,15,1,129,125,137,158,44,26
65000,35,1,123,119,133,158,38,18
65000,0,2,183,183,183,178,NA,NA
65000,5,2,170,154,164,178,NA,32
65000,10,2,156,154,164,178,NA,32
65000,15,2,149,145,157,178,44,26
65000,35,2,138,139,153,178,38,18
65000,0,3,183,183,183,178,NA,NA
65000,5,3,170,154,164,178,NA,32
65000,10,3,156,154,164,178,NA,32
65000,15,3,149,145,157,178,44,26
65000,35,3,138,139,153,178,38,18