feet,climb,rpm,kias,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C
press_alt,type,rpm,speed,-50,-40,-30,-20,-10,0,10,20,30,40
25000,2,900,160,66,62,58,54,48,43,NA,NA,NA,NA
24000,2,900,165,69,65,61,56,51,45,NA,NA,NA,NA
23000,2,900,170,72,68,64,59,54,48,NA,NA,NA,NA
22000,2,900,175,NA,71,67,63,57,51,NA,NA,NA,NA
21000,2,900,180,NA,75,70,66,60,54,NA,NA,NA,NA
20000,2,900,185,NA,79,74,70,64,57,50,NA,NA,NA
19000,2,900,185,NA,82,78,73,67,60,52,NA,NA,NA
18000,2,900,185,NA,85,81,76,70,62,54,NA,NA,NA
17000,2,900,185,90.7,89,84,79,73,65,57,NA,NA,NA
16000,2,900,185,90.7,90.7,87,82,76,68,60,NA,NA,NA
15000,2,900,185,90.7,90.7,90.7,85,79,71,63,55,NA,NA
14000,2,900,185,90.7,90.7,90.7,88,83,75,66,57,NA,NA
13000,2,900,185,90.7,90.7,90.7,90.7,87,79,70,61,NA,NA
12000,2,900,185,90.7,90.7,90.7,90.7,90.7,82,74,64,NA,NA
11000,2,900,185,90.7,90.7,90.7,90.7,90.7,86,77,67,NA,NA
10000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,80,70,60,NA
9000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,83,74,63,NA
8000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,86,78,66,NA
7000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,82,69,NA
6000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,86,72,NA
5000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,76,65
4000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,79,68
3000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,83,71
2000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,88,75
1000,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,78
0,2,900,185,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,82
25000,2,850,160,68,64,60,56,51,45,NA,NA,NA,NA
24000,2,850,165,71,67,63,59,54,47,NA,NA,NA,NA
23000,2,850,170,75,71,67,62,57,50,NA,NA,NA,NA
22000,2,850,175,NA,74,70,66,60,53,NA,NA,NA,NA
21000,2,850,180,NA,78,74,69,63,56,NA,NA,NA,NA
20000,2,850,185,NA,82,78,73,67,60,52,NA,NA,NA
19000,2,850,185,NA,86,81,76,70,63,55,NA,NA,NA
18000,2,850,185,NA,89,84,79,73,66,58,NA,NA,NA
17000,2,850,185,95.9,93,88,82,76,69,61,NA,NA,NA
16000,2,850,185,95.9,95.9,91,86,79,72,64,NA,NA,NA
15000,2,850,185,95.9,95.9,95,90,83,75,67,58,NA,NA
14000,2,850,185,95.9,95.9,95.9,93,86,79,70,61,NA,NA
13000,2,850,185,95.9,95.9,95.9,95.9,91,83,74,65,NA,NA
12000,2,850,185,95.9,95.9,95.9,95.9,94,87,78,68,NA,NA
11000,2,850,185,95.9,95.9,95.9,95.9,95.9,90,81,72,NA,NA
10000,2,850,185,95.9,95.9,95.9,95.9,95.9,94,85,75,65,NA
9000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,88,78,68,NA
8000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,91,82,71,NA
7000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,94,85,74,NA
6000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,89,78,NA
5000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,92,82,70
4000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,94,86,73
3000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,89,77
2000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,93,81
1000,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,85
0,2,850,185,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,90