lbs,degrees,level,pressure_alt_ft,pressure_alt_ft,pressure_alt_ft,pressure_alt_ft,pressure_alt_ft
weight,flaps,ice_protection,sea_level,2000,4000,6000,8000
39683,0,1,4018,4164,4320,4488,4666
40000,0,1,4018,4166,4322,4490,4668
42000,0,1,4026,4172,4330,4498,4676
44000,0,1,4056,4206,4364,4534,4716
46000,0,1,4170,4326,4492,4668,4858
48000,0,1,4286,4448,4620,4802,5000
50000,0,1,4400,4568,4746,4936,5142
52000,0,1,4514,4688,4872,5070,5284
54000,0,1,4628,4808,4998,5204,5424
56000,0,1,4742,4926,5124,5338,5566
58000,0,1,4854,5046,5250,5472,5706
60000,0,1,4966,5164,5376,5604,5848
61750,0,1,5066,5268,5486,5720,5972
62500,0,1,5106,5312,5532,5770,6024
63500,0,1,5162,5372,5594,5836,6094
64500,0,1,5218,5430,5658,5902,6166
39683,5,1,4018,4164,4320,4488,4666
40000,5,1,4018,4166,4322,4490,4668
42000,5,1,4026,4172,4330,4498,4676
44000,5,1,4056,4206,4364,4534,4716
46000,5,1,4170,4326,4492,4668,4858
48000,5,1,4286,4448,4620,4802,5000
50000,5,1,4400,4568,4746,4936,5142
52000,5,1,4514,4688,4872,5070,5284
54000,5,1,4628,4808,4998,5204,5424
56000,5,1,4742,4926,5124,5338,5566
58000,5,1,4854,5046,5250,5472,5706
60000,5,1,4966,5164,5376,5604,5848
61750,5,1,5066,5268,5486,5720,5972
62500,5,1,5106,5312,5532,5770,6024
63500,5,1,5162,5372,5594,5836,6094
64500,5,1,5218,5430,5658,5902,6166
39683,10,1,2203,2287,2376,2472,2575
40000,10,1,2206,2290,2379,2475,2578
42000,10,1,2256,2343,2436,2535,2641
44000,10,1,2327,2418,2514,2617,2729
46000,10,1,2397,2491,2592,2700,2817
48000,10,1,2467,2565,2670,2783,2904
50000,10,1,2536,2638,2747,2866,2992
52000,10,1,2605,2712,2825,2948,3081
54000,10,1,2675,2785,2904,3031,3169
56000,10,1,2744,2859,2982,3114,3258
58000,10,1,2814,2932,3060,3197,3346
60000,10,1,2883,3005,3138,3281,3435
61750,10,1,2944,3070,3206,3354,3513
62500,10,1,2969,3097,3236,3385,3547
63500,10,1,3004,3134,3275,3427,3592
64500,10,1,3039,3171,3314,3469,3637
39683,15,1,2135,2215,2301,2393,2491
40000,15,1,2136,2216,2302,2394,2492
42000,15,1,2142,2222,2309,2401,2499
44000,15,1,2177,2259,2348,2442,2543
46000,15,1,2241,2326,2419,2517,2623
48000,15,1,2305,2394,2490,2592,2703
50000,15,1,2368,2461,2561,2667,2782
52000,15,1,2431,2528,2632,2743,2862
54000,15,1,2495,2595,2703,2818,2942
56000,15,1,2558,2662,2703,2893,3021
58000,15,1,2621,2729,2844,2968,3010
60000,15,1,2684,2795,2915,3043,3182
61750,15,1,2739,2854,2977,3109,3252
62500,15,1,2763,2879,3003,3137,3282
63500,15,1,2794,2912,3038,3175,3322
64500,15,1,2826,2945,3074,3212,3363
39683,35,1,2009,2082,2160,2244,2333
40000,35,1,2009,2083,2161,2245,2334
42000,35,1,2013,2086,2165,2249,2338
44000,35,1,2028,2103,2182,2267,2358
46000,35,1,2085,2163,2246,2334,2429
48000,35,1,2143,2224,2310,2401,2500
50000,35,1,2200,2284,2373,2468,2571
52000,35,1,2257,2344,2436,2535,2642
54000,35,1,2314,2404,2499,2602,2712
56000,35,1,2371,2463,2562,2669,2783
58000,35,1,2427,2523,2625,2736,2853
60000,35,1,2483,2582,2688,2802,2924
61750,35,1,2533,2634,2743,2860,2986
62500,35,1,2553,2656,2766,2885,3012
63500,35,1,2581,2686,2797,2918,3047
64500,35,1,2609,2715,2829,2951,3083
39683,0,2,5023,5205,5400,5610,5833
40000,0,2,5023,5208,5403,5613,5835
42000,0,2,5033,5215,5413,5623,5845
44000,0,2,5070,5258,5455,5668,5895
46000,0,2,5213,5408,5615,5835,6073
48000,0,2,5358,5560,5775,6003,6250
50000,0,2,5500,5710,5933,6170,6428
52000,0,2,5643,5860,6090,6338,6605
54000,0,2,5785,6010,6248,6505,6780
56000,0,2,5928,6158,6405,6673,6958
58000,0,2,6068,6308,6563,6840,7133
60000,0,2,6208,6455,6720,7005,7310
61750,0,2,6333,6585,6858,7150,7465
62500,0,2,6383,6640,6915,7213,7530
63500,0,2,6453,6715,6993,7295,7618
64500,0,2,6523,6788,7073,7378,7708
39683,5,2,5023,5205,5400,5610,5833
40000,5,2,5023,5208,5403,5613,5835
42000,5,2,5033,5215,5413,5623,5845
44000,5,2,5070,5258,5455,5668,5895
46000,5,2,5213,5408,5615,5835,6073
48000,5,2,5358,5560,5775,6003,6250
50000,5,2,5500,5710,5933,6170,6428
52000,5,2,5643,5860,6090,6338,6605
54000,5,2,5785,6010,6248,6505,6780
56000,5,2,5928,6158,6405,6673,6958
58000,5,2,6068,6308,6563,6840,7133
60000,5,2,6208,6455,6720,7005,7310
61750,5,2,6333,6585,6858,7150,7465
62500,5,2,6383,6640,6915,7213,7530
63500,5,2,6453,6715,6993,7295,7618
64500,5,2,6523,6788,7073,7378,7708
39683,0,3,5023,5205,5400,5610,5833
40000,0,3,5023,5208,5403,5613,5835
42000,0,3,5033,5215,5413,5623,5845
44000,0,3,5070,5258,5455,5668,5895
46000,0,3,5213,5408,5615,5835,6073
48000,0,3,5358,5560,5775,6003,6250
50000,0,3,5500,5710,5933,6170,6428
52000,0,3,5643,5860,6090,6338,6605
54000,0,3,5785,6010,6248,6505,6780
56000,0,3,5928,6158,6405,6673,6958
58000,0,3,6068,6308,6563,6840,7133
60000,0,3,6208,6455,6720,7005,7310
61750,0,3,6333,6585,6858,7150,7465
62500,0,3,6383,6640,6915,7213,7530
63500,0,3,6453,6715,6993,7295,7618
64500,0,3,6523,6788,7073,7378,7708
39683,5,3,5023,5205,5400,5610,5833
40000,5,3,5023,5208,5403,5613,5835
42000,5,3,5033,5215,5413,5623,5845
44000,5,3,5070,5258,5455,5668,5895
46000,5,3,5213,5408,5615,5835,6073
48000,5,3,5358,5560,5775,6003,6250
50000,5,3,5500,5710,5933,6170,6428
52000,5,3,5643,5860,6090,6338,6605
54000,5,3,5785,6010,6248,6505,6780
56000,5,3,5928,6158,6405,6673,6958
58000,5,3,6068,6308,6563,6840,7133
60000,5,3,6208,6455,6720,7005,7310
61750,5,3,6333,6585,6858,7150,7465
62500,5,3,6383,6640,6915,7213,7530
63500,5,3,6453,6715,6993,7295,7618
64500,5,3,6523,6788,7073,7378,7708
39683,10,2,2754,2859,2970,3090,3219
40000,10,2,2758,2863,2974,3094,3223
42000,10,2,2820,2929,3045,3169,3301
44000,10,2,2909,3023,3143,3271,3411
46000,10,2,2996,3114,3240,3375,3521
48000,10,2,3084,3206,3338,3479,3630
50000,10,2,3170,3298,3434,3583,3740
52000,10,2,3256,3390,3531,3685,3851
54000,10,2,3344,3481,3630,3789,3961
56000,10,2,3430,3574,3728,3893,4073
58000,10,2,3518,3665,3825,3996,4183
60000,10,2,3604,3756,3923,4101,4294
61750,10,2,3680,3838,4008,4193,4391
62500,10,2,3711,3871,4045,4231,4434
63500,10,2,3755,3918,4094,4284,4490
64500,10,2,3799,3964,4143,4336,4546
39683,10,3,2754,2859,2970,3090,3219
40000,10,3,2758,2863,2974,3094,3223
42000,10,3,2820,2929,3045,3169,3301
44000,10,3,2909,3023,3143,3271,3411
46000,10,3,2996,3114,3240,3375,3521
48000,10,3,3084,3206,3338,3479,3630
50000,10,3,3170,3298,3434,3583,3740
52000,10,3,3256,3390,3531,3685,3851
54000,10,3,3344,3481,3630,3789,3961
56000,10,3,3430,3574,3728,3893,4073
58000,10,3,3518,3665,3825,3996,4183
60000,10,3,3604,3756,3923,4101,4294
61750,10,3,3680,3838,4008,4193,4391
62500,10,3,3711,3871,4045,4231,4434
63500,10,3,3755,3918,4094,4284,4490
64500,10,3,3799,3964,4143,4336,4546
39683,15,2,2669,2769,2876,2991,3114
40000,15,2,2670,2770,2878,2993,3115
42000,15,2,2678,2778,2886,3001,3124
44000,15,2,2721,2824,2935,3053,3179
46000,15,2,2801,2908,3024,3146,3279
48000,15,2,2881,2993,3113,3240,3379
50000,15,2,2960,3076,3201,3334,3478
52000,15,2,3039,3160,3290,3429,3578
54000,15,2,3119,3244,3379,3523,3678
56000,15,2,3198,3328,3379,3616,3776
58000,15,2,3276,3411,3555,3710,3876
60000,15,2,3355,3494,3644,3804,3978
61750,15,2,3424,3568,3721,3886,4065
62500,15,2,3454,3599,3754,3921,4103
63500,15,2,3493,3640,3798,3969,4153
64500,15,2,3533,3681,3843,4015,4204
39683,15,3,2669,2769,2876,2991,3114
40000,15,3,2670,2770,2878,2993,3115
42000,15,3,2678,2778,2886,3001,3124
44000,15,3,2721,2824,2935,3053,3179
46000,15,3,2801,2908,3024,3146,3279
48000,15,3,2881,2993,3113,3240,3379
50000,15,3,2960,3076,3201,3334,3478
52000,15,3,3039,3160,3290,3429,3578
54000,15,3,3119,3244,3379,3523,3678
56000,15,3,3198,3328,3379,3616,3776
58000,15,3,3276,3411,3555,3710,3876
60000,15,3,3355,3494,3644,3804,3978
61750,15,3,3424,3568,3721,3886,4065
62500,15,3,3454,3599,3754,3921,4103
63500,15,3,3493,3640,3798,3969,4153
64500,15,3,3533,3681,3843,4015,4204
39683,35,2,2411,2498,2592,2693,2800
40000,35,2,2411,2500,2593,2694,2801
42000,35,2,2416,2503,2598,2699,2806
44000,35,2,2434,2524,2618,2720,2830
46000,35,2,2502,2596,2695,2801,2915
48000,35,2,2572,2669,2772,2881,3000
50000,35,2,2640,2741,2848,2962,3085
52000,35,2,2708,2813,2923,3041,3170
54000,35,2,2777,2885,2999,3122,3254
56000,35,2,2845,2956,3074,3203,3340
58000,35,2,2912,3028,3150,3283,3424
60000,35,2,2980,3098,3226,3362,3509
61750,35,2,3040,3161,3292,3432,3583
62500,35,2,3064,3187,3319,3462,3614
63500,35,2,3097,3223,3356,3502,3656
64500,35,2,3131,3258,3395,3541,3700
39683,35,3,2411,2498,2592,2693,2800
40000,35,3,2411,2500,2593,2694,2801
42000,35,3,2416,2503,2598,2699,2806
44000,35,3,2434,2524,2618,2720,2830
46000,35,3,2502,2596,2695,2801,2915
48000,35,3,2572,2669,2772,2881,3000
50000,35,3,2640,2741,2848,2962,3085
52000,35,3,2708,2813,2923,3041,3170
54000,35,3,2777,2885,2999,3122,3254
56000,35,3,2845,2956,3074,3203,3340
58000,35,3,2912,3028,3150,3283,3424
60000,35,3,2980,3098,3226,3362,3509
61750,35,3,3040,3161,3292,3432,3583
62500,35,3,3064,3187,3319,3462,3614
63500,35,3,3097,3223,3356,3502,3656
64500,35,3,3131,3258,3395,3541,3700